"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"HCLTECH","EQ","16-Aug-2016","        814.20","        813.20","        823.80","        785.55","        796.00","        792.35","        805.29","    2244771","          1807694263.50","      60308"
"HCLTECH","EQ","17-Aug-2016","        792.35","        790.00","        800.85","        782.00","        784.55","        784.55","        789.04","    2367829","          1868318654.80","      95093"
"HCLTECH","EQ","18-Aug-2016","        784.55","        789.80","        792.40","        780.10","        785.00","        785.80","        787.47","    1541722","          1214058423.20","      86181"
"HCLTECH","EQ","19-Aug-2016","        785.80","        785.00","        794.40","        779.60","        779.65","        781.85","        784.11","    1309172","          1026528619.60","      57471"
"HCLTECH","BT","22-Aug-2016","        580.00","        783.65","        784.05","        783.65","-","        784.05","        783.86","         99","               77602.55","          2"
"HCLTECH","EQ","22-Aug-2016","        781.85","        784.95","        787.35","        765.00","        769.05","        772.25","        773.46","    1346765","          1041670672.15","      49547"
"HCLTECH","EQ","23-Aug-2016","        772.25","        776.00","        795.85","        771.60","        789.00","        791.00","        790.24","    1707691","          1349478324.60","      51775"
"HCLTECH","EQ","24-Aug-2016","        791.00","        795.00","        798.35","        781.10","        792.00","        790.35","        789.70","    1208724","           954534127.45","      27128"
"HCLTECH","EQ","25-Aug-2016","        790.35","        798.00","        805.00","        794.05","        798.00","        798.05","        800.06","    2212911","          1770463031.60","      53873"
"HCLTECH","EQ","26-Aug-2016","        798.05","        798.00","        800.45","        772.80","        779.00","        778.75","        783.90","    1662032","          1302867615.40","      64434"
"HCLTECH","EQ","29-Aug-2016","        778.75","        782.95","        782.95","        751.10","        755.10","        755.10","        758.36","    1530452","          1160635719.60","      72594"
"HCLTECH","EQ","30-Aug-2016","        755.10","        756.00","        775.75","        753.90","        771.00","        773.90","        770.99","    2160269","          1665550287.85","      64636"
"HCLTECH","EQ","31-Aug-2016","        773.90","        774.00","        793.45","        773.05","        778.00","        778.55","        784.08","    2792176","          2189301648.70","     112792"
"HCLTECH","EQ","01-Sep-2016","        778.55","        781.30","        789.55","        779.10","        784.00","        783.80","        782.88","    1298758","          1016765813.15","      54256"
